,User,Date_month,Artist,Song,Count
4309,wuhuspringfield,2022-01,poptropicaslutz!,WW3,4
3797,wuhuspringfield,2022-01,Dizzy,Twist,3
3890,wuhuspringfield,2022-01,John Williams,Cantina Band,3
3999,wuhuspringfield,2022-01,Marian Hill,little bit (feat. GASHI),3
4166,wuhuspringfield,2022-01,Susanne Davis,HAPPY OVERDOSE,3
4853,wuhuspringfield,2022-02,Machine Gun Kelly,emo girl (feat. WILLOW),4
174,feybmertn,2022-02,Jutes,Start Over,3
225,feybmertn,2022-02,Kanye West,School Spirit Skit 1,3
340,feybmertn,2022-02,Still Woozy,Habit,3
4384,wuhuspringfield,2022-02,Avery Young,Shifts Of Light,3
588,feybmertn,2022-03,Illenium,Reverie,16
576,feybmertn,2022-03,Gavin James,Coming Home,13
5750,wuhuspringfield,2022-03,MARC WAVY,Dopamine,5
5934,wuhuspringfield,2022-03,Simple Plan,Congratulations,4
520,feybmertn,2022-03,Charli XCX,1999,3
1334,feybmertn,2022-04,Polo G,21,9
1310,feybmertn,2022-04,Nas,If I Ruled The World (Imagine That) (feat. Lauryn Hill),4
1476,feybmertn,2022-04,cypress,Take Me Back,4
1100,feybmertn,2022-04,Dean Lewis,Waves,3
1135,feybmertn,2022-04,Eden,XO,3
1593,feybmertn,2022-05,Kendrick Lamar,Silent Hill,8
7512,wuhuspringfield,2022-05,Television's Greatest Hits Band,Jeopardy,8
1586,feybmertn,2022-05,Kendrick Lamar,Mr. Morale,7
7082,wuhuspringfield,2022-05,Harry Mack,Tricky Equation,6
1514,feybmertn,2022-05,Charlie Day,Spider Song - Itâ€™s Always Sunny in Philadelphia,5
7825,wuhuspringfield,2022-06,Chiddy Bang,Fake Handshakes,11
7830,wuhuspringfield,2022-06,Chiddy Bang,Talking to Myself,7
7950,wuhuspringfield,2022-06,Fuckin Whatever,Houdini,7
8439,wuhuspringfield,2022-06,yacuzzi,Backseat Baby,7
8214,wuhuspringfield,2022-06,Playboi Carti,Shoota (feat. Lil Uzi Vert),6
2285,feybmertn,2022-07,Drake,Finesse,5
8869,wuhuspringfield,2022-07,So Low,Simple as They Seemed,5
2447,feybmertn,2022-07,OneRepublic,Love Runs Out,4
8577,wuhuspringfield,2022-07,Caye,Trust Fall,4
2246,feybmertn,2022-07,Calvin Harris,Feel So Close,3
9237,wuhuspringfield,2022-08,Hailee Steinfeld,I Love You's,9
9240,wuhuspringfield,2022-08,Hailee Steinfeld,Most Girls,9
9185,wuhuspringfield,2022-08,Eddie Vedder,Hard Sun,5
2903,feybmertn,2022-08,Rihanna,FourFiveSeconds,4
9154,wuhuspringfield,2022-08,Christoffer Franzen,Phenomenon,4
10056,wuhuspringfield,2022-09,Joey Pecoraro,Learning How To Walk,10
9874,wuhuspringfield,2022-09,Bryce Bishop,'communication is the basis of every strong relationship',9
3110,feybmertn,2022-09,Drake Bell,Makes Me Happy,7
10204,wuhuspringfield,2022-09,Maximillian,Ripples,7
10394,wuhuspringfield,2022-09,The National,About Today - 2021 Remaster,6
10822,wuhuspringfield,2022-10,Kid Cudi,She's Lookin' for Me,25
10684,wuhuspringfield,2022-10,Edwin Raphael,Will You Think of Me Later?,20
10980,wuhuspringfield,2022-10,The Chainsmokers,I Hope You Change Your Mind - lofi remix,13
11010,wuhuspringfield,2022-10,Thunder Jackson,Caroline,12
11068,wuhuspringfield,2022-10,girl in red,october passed ME BY,9
11156,wuhuspringfield,2022-11,BAYNK,When I'm Alone,16
11152,wuhuspringfield,2022-11,BAYNK,Touch Me (Hold My Hand),13
11215,wuhuspringfield,2022-11,Madson.,light after the darkness,9
11223,wuhuspringfield,2022-11,NVSH,JADED,9
11253,wuhuspringfield,2022-11,Unodavid,In My Head,8
